marriage_id,spouse1_id,spouse2_id,start_date,end_date,status
30000,30000,30001,1625-01-01,1683-06-01,deceased
30001,30002,30003,1624-01-01,1673-06-01,deceased
30002,30004,30005,1624-01-01,1654-06-01,deceased
30003,30006,30007,1628-01-01,1657-06-01,deceased
30004,30008,30009,1625-01-01,1673-06-01,deceased
30005,30010,30011,1625-01-01,1660-06-01,deceased
30006,30012,30013,1622-01-01,1644-06-01,deceased
30007,30014,30015,1623-01-01,1668-06-01,deceased
30008,30016,30017,1629-01-01,1665-06-01,deceased
30009,30018,30019,1630-01-01,1668-06-01,deceased
30010,30020,30021,1622-01-01,1647-06-01,deceased
30011,30022,30023,1630-01-01,1689-06-01,deceased
30012,30025,30067,1643-01-01,1673-06-01,deceased
30013,30061,30068,1643-01-01,1689-06-01,deceased
30014,30062,30027,1643-01-01,1674-06-01,deceased
30015,30040,30069,1641-01-01,1667-06-01,deceased
30016,30031,30070,1637-01-01,1661-06-01,deceased
30017,30051,30071,1637-01-01,1655-06-01,deceased
30018,30032,30072,1638-01-01,1671-06-01,deceased
30019,30046,30073,1637-01-01,1687-06-01,deceased
30020,30034,30074,1641-01-01,1674-06-01,deceased
30021,30036,30024,1641-01-01,1660-06-01,deceased
30022,30049,30075,1643-01-01,1661-06-01,deceased
30023,30029,30076,1638-01-01,1678-06-01,deceased
30024,30028,30077,1640-01-01,1690-06-01,deceased
30025,30064,30078,1642-01-01,1671-06-01,deceased
30026,30044,30079,1642-01-01,1667-06-01,deceased
30027,30065,30080,1641-01-01,1674-06-01,deceased
30028,30037,30081,1641-01-01,1682-06-01,deceased
30029,30054,30082,1640-01-01,1694-06-01,deceased
30030,30026,30045,1640-01-01,1698-06-01,deceased
30031,30050,30083,1637-01-01,1657-06-01,deceased
30032,30055,30084,1642-01-01,1658-06-01,deceased
30033,30120,30157,1661-01-01,1721-06-01,deceased
30034,30155,30147,1655-01-01,1703-06-01,deceased
30035,30095,30158,1656-01-01,1677-06-01,deceased
30036,30086,30159,1661-01-01,1690-06-01,deceased
30037,30099,30118,1659-01-01,1696-06-01,deceased
30038,30097,30160,1656-01-01,1704-06-01,deceased
30039,30109,30161,1660-01-01,1685-06-01,deceased
30040,30140,30162,1658-01-01,1700-06-01,deceased
30041,30142,30163,1660-01-01,1716-06-01,deceased
30042,30098,30164,1655-01-01,1697-06-01,deceased
30043,30137,30165,1655-01-01,1676-06-01,deceased
30044,30125,30166,1656-01-01,1697-06-01,deceased
30045,30091,30167,1657-01-01,1691-06-01,deceased
30046,30145,30168,1660-01-01,1689-06-01,deceased
30047,30114,30169,1655-01-01,1711-06-01,deceased
30048,30135,30171,1659-01-01,1708-06-01,deceased
30049,30092,30174,1659-01-01,1691-06-01,deceased
30050,30123,30175,1657-01-01,1675-06-01,deceased
30051,30153,30176,1659-01-01,1694-06-01,deceased
30052,30131,30177,1660-01-01,1689-06-01,deceased
30053,30149,30178,1656-01-01,1683-06-01,deceased
30054,30103,30179,1658-01-01,1681-06-01,deceased
30055,30146,30181,1660-01-01,1709-06-01,deceased
30056,30144,30182,1661-01-01,1705-06-01,deceased
30057,30130,30183,1656-01-01,1689-06-01,deceased
30058,30151,30186,1660-01-01,1702-06-01,deceased
30059,30106,30187,1660-01-01,1685-06-01,deceased
30060,30115,30188,1661-01-01,1712-06-01,deceased
30061,30286,30287,1673-01-01,1727-06-01,deceased
30062,30244,30288,1675-01-01,1705-06-01,deceased
30063,30197,30289,1677-01-01,1737-06-01,deceased
30064,30236,30242,1676-01-01,1704-06-01,deceased
30065,30241,30227,1678-01-01,1713-06-01,deceased
30066,30196,30291,1676-01-01,1725-06-01,deceased
30067,30213,30292,1675-01-01,1719-06-01,deceased
30068,30284,30293,1673-01-01,1698-06-01,deceased
30069,30262,30295,1679-01-01,1697-06-01,deceased
30070,30282,30296,1677-01-01,1703-06-01,deceased
30071,30268,30297,1673-01-01,1696-06-01,deceased
30072,30201,30298,1676-01-01,1713-06-01,deceased
30073,30281,30299,1674-01-01,1709-06-01,deceased
30074,30189,30300,1676-01-01,1707-06-01,deceased
30075,30274,30301,1676-01-01,1695-06-01,deceased
30076,30276,30302,1674-01-01,1729-06-01,deceased
30077,30257,30204,1679-01-01,1728-06-01,deceased
30078,30222,30303,1679-01-01,1708-06-01,deceased
30079,30220,30304,1674-01-01,1699-06-01,deceased
30080,30226,30234,1675-01-01,1733-06-01,deceased
30081,30207,30305,1678-01-01,1711-06-01,deceased
30082,30264,30307,1679-01-01,1703-06-01,deceased
30083,30271,30308,1675-01-01,1698-06-01,deceased
30084,30223,30309,1676-01-01,1703-06-01,deceased
30085,30272,30310,1676-01-01,1715-06-01,deceased
30086,30202,30240,1679-01-01,1719-06-01,deceased
30087,30250,30311,1674-01-01,1702-06-01,deceased
30088,30237,30312,1677-01-01,1714-06-01,deceased
30089,30190,30314,1673-01-01,1714-06-01,deceased
30090,30233,30260,1679-01-01,1708-06-01,deceased
30091,30245,30315,1678-01-01,1696-06-01,deceased
30092,30252,30316,1677-01-01,1699-06-01,deceased
30093,30216,30317,1678-01-01,1703-06-01,deceased
30094,30229,30318,1679-01-01,1712-06-01,deceased
30095,30230,30319,1676-01-01,1697-06-01,deceased
30096,30191,30320,1675-01-01,1708-06-01,deceased
30097,30210,30321,1676-01-01,1701-06-01,deceased
30098,30258,30322,1679-01-01,1713-06-01,deceased
30099,30261,30323,1675-01-01,1714-06-01,deceased
30100,30195,30324,1675-01-01,1692-06-01,deceased
30101,30199,30325,1676-01-01,1719-06-01,deceased
30102,30283,30326,1677-01-01,1704-06-01,deceased
30103,30212,30328,1677-01-01,1695-06-01,deceased
30104,30249,30329,1675-01-01,1713-06-01,deceased
30105,30248,30330,1677-01-01,1696-06-01,deceased
30106,30235,30331,1673-01-01,1695-06-01,deceased
30107,30254,30332,1679-01-01,1697-06-01,deceased
30108,30208,30334,1677-01-01,1703-06-01,deceased
30109,30232,30335,1679-01-01,1699-06-01,deceased
30110,30225,30336,1674-01-01,1702-06-01,deceased
30111,30345,30517,1696-01-01,1720-06-01,deceased
30112,30516,30518,1694-01-01,1714-06-01,deceased
30113,30350,30519,1695-01-01,1727-06-01,deceased
30114,30434,30520,1692-01-01,1724-06-01,deceased
30115,30356,30521,1697-01-01,1721-06-01,deceased
30116,30394,30471,1695-01-01,1736-06-01,deceased
30117,30490,30522,1692-01-01,1737-06-01,deceased
30118,30483,30523,1692-01-01,1724-06-01,deceased
30119,30455,30367,1697-01-01,1725-06-01,deceased
30120,30480,30524,1691-01-01,1755-06-01,deceased
30121,30440,30526,1691-01-01,1717-06-01,deceased
30122,30374,30528,1695-01-01,1738-06-01,deceased
30123,30358,30530,1694-01-01,1715-06-01,deceased
30124,30468,30532,1693-01-01,1739-06-01,deceased
30125,30397,30533,1694-01-01,1735-06-01,deceased
30126,30404,30498,1694-01-01,1712-06-01,deceased
30127,30432,30534,1696-01-01,1728-06-01,deceased
30128,30448,30535,1697-01-01,1747-06-01,deceased
30129,30481,30458,1695-01-01,1736-06-01,deceased
30130,30395,30536,1692-01-01,1716-06-01,deceased
30131,30496,30537,1694-01-01,1745-06-01,deceased
30132,30403,30538,1693-01-01,1736-06-01,deceased
30133,30419,30539,1697-01-01,1740-06-01,deceased
30134,30365,30540,1693-01-01,1727-06-01,deceased
30135,30433,30541,1696-01-01,1737-06-01,deceased
30136,30511,30543,1691-01-01,1741-06-01,deceased
30137,30375,30544,1696-01-01,1761-06-01,deceased
30138,30385,30545,1692-01-01,1734-06-01,deceased
30139,30505,30546,1697-01-01,1740-06-01,deceased
30140,30348,30547,1695-01-01,1733-06-01,deceased
30141,30390,30379,1691-01-01,1715-06-01,deceased
30142,30435,30548,1694-01-01,1730-06-01,deceased
30143,30342,30549,1692-01-01,1751-06-01,deceased
30144,30413,30550,1694-01-01,1721-06-01,deceased
30145,30422,30551,1694-01-01,1724-06-01,deceased
30146,30408,30552,1692-01-01,1732-06-01,deceased
30147,30406,30553,1696-01-01,1716-06-01,deceased
30148,30427,30554,1691-01-01,1730-06-01,deceased
30149,30363,30556,1692-01-01,1717-06-01,deceased
30150,30377,30343,1692-01-01,1729-06-01,deceased
30151,30430,30559,1696-01-01,1714-06-01,deceased
30152,30389,30560,1695-01-01,1728-06-01,deceased
30153,30509,30561,1693-01-01,1715-06-01,deceased
30154,30459,30361,1691-01-01,1735-06-01,deceased
30155,30426,30563,1693-01-01,1711-06-01,deceased
30156,30393,30476,1691-01-01,1738-06-01,deceased
30157,30450,30564,1694-01-01,1731-06-01,deceased
30158,30416,30565,1694-01-01,1714-06-01,deceased
30159,30439,30566,1696-01-01,1740-06-01,deceased
30160,30415,30568,1693-01-01,1749-06-01,deceased
30161,30487,30569,1692-01-01,1709-06-01,deceased
30162,30507,30571,1697-01-01,1721-06-01,deceased
30163,30486,30572,1691-01-01,1744-06-01,deceased
30164,30384,30409,1691-01-01,1741-06-01,deceased
30165,30429,30573,1693-01-01,1725-06-01,deceased
30166,30453,30574,1695-01-01,1737-06-01,deceased
30167,30443,30575,1693-01-01,1740-06-01,deceased
30168,30494,30576,1692-01-01,1734-06-01,deceased
30169,30414,30577,1693-01-01,1746-06-01,deceased
30170,30340,30578,1695-01-01,1738-06-01,deceased
30171,30469,30579,1691-01-01,1736-06-01,deceased
30172,30424,30580,1693-01-01,1724-06-01,deceased
30173,30463,30581,1697-01-01,1712-06-01,deceased
30174,30353,30582,1693-01-01,1735-06-01,deceased
30175,30366,30583,1693-01-01,1731-06-01,deceased
30176,30346,30584,1691-01-01,1742-06-01,deceased
30177,30461,30585,1697-01-01,1717-06-01,deceased
30178,30386,30586,1697-01-01,1717-06-01,deceased
30179,30411,30587,1693-01-01,1725-06-01,deceased
30180,30354,30588,1693-01-01,1713-06-01,deceased
30181,30360,30503,1691-01-01,1724-06-01,deceased
30182,30493,30396,1694-01-01,1725-06-01,deceased
30183,30421,30589,1696-01-01,1719-06-01,deceased
30184,30417,30488,1692-01-01,1744-06-01,deceased
30185,30449,30590,1694-01-01,1738-06-01,deceased
30186,30436,30591,1694-01-01,1720-06-01,deceased
30187,30381,30474,1695-01-01,1731-06-01,deceased
30188,30442,30592,1691-01-01,1709-06-01,deceased
30189,30388,30593,1693-01-01,1717-06-01,deceased
