parent_id,child_id,relation_type
30000,30024,father
30001,30024,mother
30000,30025,father
30001,30025,mother
30000,30026,father
30001,30026,mother
30002,30027,father
30003,30027,mother
30002,30028,father
30003,30028,mother
30002,30029,father
30003,30029,mother
30004,30030,father
30005,30030,mother
30004,30031,father
30005,30031,mother
30004,30032,father
30005,30032,mother
30006,30033,father
30007,30033,mother
30006,30034,father
30007,30034,mother
30006,30035,father
30007,30035,mother
30008,30036,father
30009,30036,mother
30008,30037,father
30009,30037,mother
30008,30038,father
30009,30038,mother
30008,30039,father
30009,30039,mother
30010,30040,father
30011,30040,mother
30010,30041,father
30011,30041,mother
30010,30042,father
30011,30042,mother
30010,30043,father
30011,30043,mother
30012,30044,father
30013,30044,mother
30012,30045,father
30013,30045,mother
30012,30046,father
30013,30046,mother
30012,30047,father
30013,30047,mother
30014,30048,father
30015,30048,mother
30014,30049,father
30015,30049,mother
30014,30050,father
30015,30050,mother
30014,30051,father
30015,30051,mother
30016,30052,father
30017,30052,mother
30016,30053,father
30017,30053,mother
30016,30054,father
30017,30054,mother
30018,30055,father
30019,30055,mother
30018,30056,father
30019,30056,mother
30018,30057,father
30019,30057,mother
30018,30058,father
30019,30058,mother
30020,30059,father
30021,30059,mother
30020,30060,father
30021,30060,mother
30020,30061,father
30021,30061,mother
30020,30062,father
30021,30062,mother
30022,30063,father
30023,30063,mother
30022,30064,father
30023,30064,mother
30022,30065,father
30023,30065,mother
30022,30066,father
30023,30066,mother
30025,30085,father
30067,30085,mother
30025,30086,father
30067,30086,mother
30025,30087,father
30067,30087,mother
30025,30088,father
30067,30088,mother
30061,30089,father
30068,30089,mother
30061,30090,father
30068,30090,mother
30061,30091,father
30068,30091,mother
30062,30092,father
30027,30092,mother
30062,30093,father
30027,30093,mother
30062,30094,father
30027,30094,mother
30062,30095,father
30027,30095,mother
30040,30096,father
30069,30096,mother
30040,30097,father
30069,30097,mother
30040,30098,father
30069,30098,mother
30031,30099,father
30070,30099,mother
30031,30100,father
30070,30100,mother
30031,30101,father
30070,30101,mother
30031,30102,father
30070,30102,mother
30051,30103,father
30071,30103,mother
30051,30104,father
30071,30104,mother
30051,30105,father
30071,30105,mother
30032,30106,father
30072,30106,mother
30032,30107,father
30072,30107,mother
30032,30108,father
30072,30108,mother
30046,30109,father
30073,30109,mother
30046,30110,father
30073,30110,mother
30046,30111,father
30073,30111,mother
30046,30112,father
30073,30112,mother
30034,30113,father
30074,30113,mother
30034,30114,father
30074,30114,mother
30034,30115,father
30074,30115,mother
30034,30116,father
30074,30116,mother
30036,30117,father
30024,30117,mother
30036,30118,father
30024,30118,mother
30036,30119,father
30024,30119,mother
30049,30120,father
30075,30120,mother
30049,30121,father
30075,30121,mother
30049,30122,father
30075,30122,mother
30029,30123,father
30076,30123,mother
30029,30124,father
30076,30124,mother
30029,30125,father
30076,30125,mother
30029,30126,father
30076,30126,mother
30028,30127,father
30077,30127,mother
30028,30128,father
30077,30128,mother
30028,30129,father
30077,30129,mother
30028,30130,father
30077,30130,mother
30064,30131,father
30078,30131,mother
30064,30132,father
30078,30132,mother
30064,30133,father
30078,30133,mother
30044,30134,father
30079,30134,mother
30044,30135,father
30079,30135,mother
30044,30136,father
30079,30136,mother
30065,30137,father
30080,30137,mother
30065,30138,father
30080,30138,mother
30065,30139,father
30080,30139,mother
30037,30140,father
30081,30140,mother
30037,30141,father
30081,30141,mother
30037,30142,father
30081,30142,mother
30054,30143,father
30082,30143,mother
30054,30144,father
30082,30144,mother
30054,30145,father
30082,30145,mother
30054,30146,father
30082,30146,mother
30026,30147,father
30045,30147,mother
30026,30148,father
30045,30148,mother
30026,30149,father
30045,30149,mother
30050,30150,father
30083,30150,mother
30050,30151,father
30083,30151,mother
30050,30152,father
30083,30152,mother
30055,30153,father
30084,30153,mother
30055,30154,father
30084,30154,mother
30055,30155,father
30084,30155,mother
30120,30189,father
30157,30189,mother
30120,30190,father
30157,30190,mother
30120,30191,father
30157,30191,mother
30120,30192,father
30157,30192,mother
30155,30193,father
30147,30193,mother
30155,30194,father
30147,30194,mother
30155,30195,father
30147,30195,mother
30155,30196,father
30147,30196,mother
30095,30197,father
30158,30197,mother
30095,30198,father
30158,30198,mother
30095,30199,father
30158,30199,mother
30095,30200,father
30158,30200,mother
30086,30201,father
30159,30201,mother
30086,30202,father
30159,30202,mother
30086,30203,father
30159,30203,mother
30086,30204,father
30159,30204,mother
30099,30205,father
30118,30205,mother
30099,30206,father
30118,30206,mother
30099,30207,father
30118,30207,mother
30099,30208,father
30118,30208,mother
30097,30209,father
30160,30209,mother
30097,30210,father
30160,30210,mother
30097,30211,father
30160,30211,mother
30109,30212,father
30161,30212,mother
30109,30213,father
30161,30213,mother
30109,30214,father
30161,30214,mother
30109,30215,father
30161,30215,mother
30140,30216,father
30162,30216,mother
30140,30217,father
30162,30217,mother
30140,30218,father
30162,30218,mother
30142,30219,father
30163,30219,mother
30142,30220,father
30163,30220,mother
30142,30221,father
30163,30221,mother
30098,30222,father
30164,30222,mother
30098,30223,father
30164,30223,mother
30098,30224,father
30164,30224,mother
30098,30225,father
30164,30225,mother
30137,30226,father
30165,30226,mother
30137,30227,father
30165,30227,mother
30137,30228,father
30165,30228,mother
30125,30229,father
30166,30229,mother
30125,30230,father
30166,30230,mother
30125,30231,father
30166,30231,mother
30091,30232,father
30167,30232,mother
30091,30233,father
30167,30233,mother
30091,30234,father
30167,30234,mother
30091,30235,father
30167,30235,mother
30145,30236,father
30168,30236,mother
30145,30237,father
30168,30237,mother
30145,30238,father
30168,30238,mother
30145,30239,father
30168,30239,mother
30114,30240,father
30169,30240,mother
30114,30241,father
30169,30241,mother
30114,30242,father
30169,30242,mother
30135,30243,father
30171,30243,mother
30135,30244,father
30171,30244,mother
30135,30245,father
30171,30245,mother
30092,30246,father
30174,30246,mother
30092,30247,father
30174,30247,mother
30092,30248,father
30174,30248,mother
30123,30249,father
30175,30249,mother
30123,30250,father
30175,30250,mother
30123,30251,father
30175,30251,mother
30123,30252,father
30175,30252,mother
30153,30253,father
30176,30253,mother
30153,30254,father
30176,30254,mother
30153,30255,father
30176,30255,mother
30131,30256,father
30177,30256,mother
30131,30257,father
30177,30257,mother
30131,30258,father
30177,30258,mother
30149,30259,father
30178,30259,mother
30149,30260,father
30178,30260,mother
30149,30261,father
30178,30261,mother
30103,30262,father
30179,30262,mother
30103,30263,father
30179,30263,mother
30103,30264,father
30179,30264,mother
30146,30265,father
30181,30265,mother
30146,30266,father
30181,30266,mother
30146,30267,father
30181,30267,mother
30146,30268,father
30181,30268,mother
30144,30269,father
30182,30269,mother
30144,30270,father
30182,30270,mother
30144,30271,father
30182,30271,mother
30144,30272,father
30182,30272,mother
30130,30273,father
30183,30273,mother
30130,30274,father
30183,30274,mother
30130,30275,father
30183,30275,mother
30151,30276,father
30186,30276,mother
30151,30277,father
30186,30277,mother
30151,30278,father
30186,30278,mother
30151,30279,father
30186,30279,mother
30106,30280,father
30187,30280,mother
30106,30281,father
30187,30281,mother
30106,30282,father
30187,30282,mother
30106,30283,father
30187,30283,mother
30115,30284,father
30188,30284,mother
30115,30285,father
30188,30285,mother
30115,30286,father
30188,30286,mother
30286,30338,father
30287,30338,mother
30286,30339,father
30287,30339,mother
30286,30340,father
30287,30340,mother
30286,30341,father
30287,30341,mother
30244,30342,father
30288,30342,mother
