marriage_id,spouse1_id,spouse2_id,start_date,end_date,status
20000,20000,20001,1747-01-01,1797-06-01,deceased
20001,20002,20003,1750-01-01,1808-06-01,deceased
20002,20004,20005,1749-01-01,1788-06-01,deceased
20003,20006,20007,1750-01-01,1808-06-01,deceased
20004,20008,20009,1746-01-01,1801-06-01,deceased
20005,20010,20011,1743-01-01,1787-06-01,deceased
20006,20012,20013,1749-01-01,1768-06-01,deceased
20007,20014,20015,1748-01-01,1796-06-01,deceased
20008,20016,20017,1750-01-01,1793-06-01,deceased
20009,20018,20019,1746-01-01,1764-06-01,deceased
20010,20046,20058,1762-01-01,1786-06-01,deceased
20011,20052,20059,1761-01-01,1815-06-01,deceased
20012,20051,20060,1761-01-01,1801-06-01,deceased
20013,20048,20061,1763-01-01,1811-06-01,deceased
20014,20022,20062,1758-01-01,1802-06-01,deceased
20015,20024,20063,1761-01-01,1784-06-01,deceased
20016,20038,20064,1763-01-01,1789-06-01,deceased
20017,20054,20065,1759-01-01,1784-06-01,deceased
20018,20027,20066,1762-01-01,1797-06-01,deceased
20019,20055,20067,1760-01-01,1796-06-01,deceased
20020,20031,20030,1762-01-01,1787-06-01,deceased
20021,20056,20068,1762-01-01,1787-06-01,deceased
20022,20044,20069,1758-01-01,1791-06-01,deceased
20023,20021,20070,1762-01-01,1812-06-01,deceased
20024,20037,20071,1762-01-01,1788-06-01,deceased
20025,20049,20073,1759-01-01,1787-06-01,deceased
20026,20095,20132,1781-01-01,1803-06-01,deceased
20027,20093,20133,1778-01-01,1828-06-01,deceased
20028,20081,20134,1776-01-01,1814-06-01,deceased
20029,20102,20128,1776-01-01,1796-06-01,deceased
20030,20106,20136,1777-01-01,1827-06-01,deceased
20031,20096,20137,1781-01-01,1823-06-01,deceased
20032,20104,20138,1779-01-01,1816-06-01,deceased
20033,20127,20139,1779-01-01,1830-06-01,deceased
20034,20086,20141,1775-01-01,1798-06-01,deceased
20035,20112,20142,1775-01-01,1791-06-01,deceased
20036,20109,20144,1778-01-01,1806-06-01,deceased
20037,20082,20145,1780-01-01,1815-06-01,deceased
20038,20077,20146,1778-01-01,1811-06-01,deceased
20039,20123,20147,1775-01-01,1817-06-01,deceased
20040,20087,20148,1776-01-01,1799-06-01,deceased
20041,20114,20149,1777-01-01,1800-06-01,deceased
20042,20083,20150,1781-01-01,1826-06-01,deceased
20043,20129,20151,1777-01-01,1834-06-01,deceased
20044,20120,20152,1775-01-01,1813-06-01,deceased
20045,20099,20100,1779-01-01,1817-06-01,deceased
20046,20116,20153,1775-01-01,1795-06-01,deceased
20047,20131,20154,1781-01-01,1803-06-01,deceased
20048,20107,20156,1777-01-01,1805-06-01,deceased
20049,20101,20157,1781-01-01,1819-06-01,deceased
20050,20111,20160,1775-01-01,1806-06-01,deceased
20051,20079,20161,1777-01-01,1792-06-01,deceased
20052,20121,20162,1775-01-01,1798-06-01,deceased
20053,20207,20256,1798-01-01,1827-06-01,deceased
20054,20231,20257,1795-01-01,1825-06-01,deceased
20055,20177,20258,1794-01-01,1816-06-01,deceased
20056,20188,20259,1799-01-01,1843-06-01,deceased
20057,20249,20262,1793-01-01,1831-06-01,deceased
20058,20247,20263,1795-01-01,1823-06-01,deceased
20059,20220,20265,1798-01-01,1820-06-01,deceased
20060,20221,20266,1796-01-01,1837-06-01,deceased
20061,20194,20267,1798-01-01,1820-06-01,deceased
20062,20189,20268,1795-01-01,1821-06-01,deceased
20063,20242,20270,1794-01-01,1845-06-01,deceased
20064,20198,20271,1799-01-01,1821-06-01,deceased
20065,20196,20272,1795-01-01,1818-06-01,deceased
20066,20193,20274,1793-01-01,1820-06-01,deceased
20067,20179,20275,1794-01-01,1825-06-01,deceased
20068,20248,20276,1798-01-01,1858-06-01,deceased
20069,20210,20212,1795-01-01,1858-06-01,deceased
20070,20244,20277,1796-01-01,1838-06-01,deceased
20071,20214,20278,1799-01-01,1835-06-01,deceased
20072,20211,20229,1799-01-01,1844-06-01,deceased
20073,20169,20175,1798-01-01,1822-06-01,deceased
20074,20173,20280,1799-01-01,1851-06-01,deceased
20075,20163,20281,1795-01-01,1845-06-01,deceased
20076,20219,20282,1799-01-01,1828-06-01,deceased
20077,20183,20283,1794-01-01,1830-06-01,deceased
20078,20181,20284,1797-01-01,1840-06-01,deceased
20079,20240,20285,1799-01-01,1820-06-01,deceased
20080,20184,20286,1797-01-01,1812-06-01,deceased
20081,20251,20287,1794-01-01,1823-06-01,deceased
20082,20170,20288,1797-01-01,1839-06-01,deceased
20083,20206,20289,1796-01-01,1839-06-01,deceased
20084,20237,20290,1799-01-01,1821-06-01,deceased
20085,20185,20291,1795-01-01,1819-06-01,deceased
20086,20191,20292,1797-01-01,1821-06-01,deceased
20087,20197,20293,1793-01-01,1828-06-01,deceased
20088,20165,20295,1795-01-01,1828-06-01,deceased
20089,20224,20296,1799-01-01,1851-06-01,deceased
20090,20209,20297,1798-01-01,1865-06-01,deceased
20091,20236,20298,1797-01-01,1827-06-01,deceased
20092,20254,20299,1796-01-01,1825-06-01,deceased
20093,20230,20300,1793-01-01,1811-06-01,deceased
20094,20225,20303,1793-01-01,1849-06-01,deceased
20095,20352,20452,1815-01-01,1835-06-01,deceased
20096,20396,20453,1811-01-01,1829-06-01,deceased
20097,20324,20454,1817-01-01,1871-06-01,deceased
20098,20362,20456,1815-01-01,1838-06-01,deceased
20099,20321,20457,1814-01-01,1842-06-01,deceased
20100,20379,20414,1811-01-01,1834-06-01,deceased
20101,20342,20458,1813-01-01,1857-06-01,deceased
20102,20440,20459,1815-01-01,1843-06-01,deceased
20103,20410,20460,1814-01-01,1844-06-01,deceased
20104,20425,20461,1816-01-01,1848-06-01,deceased
20105,20449,20462,1817-01-01,1865-06-01,deceased
20106,20313,20463,1817-01-01,1866-06-01,deceased
20107,20368,20426,1817-01-01,1832-06-01,deceased
20108,20404,20464,1816-01-01,1870-06-01,deceased
20109,20415,20465,1817-01-01,1838-06-01,deceased
20110,20383,20467,1813-01-01,1841-06-01,deceased
20111,20337,20468,1816-01-01,1843-06-01,deceased
20112,20390,20469,1814-01-01,1836-06-01,deceased
20113,20421,20406,1815-01-01,1849-06-01,deceased
20114,20446,20470,1812-01-01,1845-06-01,deceased
20115,20360,20471,1815-01-01,1855-06-01,deceased
20116,20356,20401,1817-01-01,1861-06-01,deceased
20117,20443,20472,1813-01-01,1866-06-01,deceased
20118,20345,20473,1812-01-01,1843-06-01,deceased
20119,20340,20474,1817-01-01,1855-06-01,deceased
20120,20370,20475,1814-01-01,1833-06-01,deceased
20121,20395,20476,1817-01-01,1863-06-01,deceased
20122,20418,20477,1814-01-01,1863-06-01,deceased
20123,20376,20478,1816-01-01,1840-06-01,deceased
20124,20389,20479,1812-01-01,1871-06-01,deceased
20125,20407,20480,1813-01-01,1831-06-01,deceased
20126,20419,20481,1814-01-01,1842-06-01,deceased
20127,20393,20482,1816-01-01,1863-06-01,deceased
20128,20326,20483,1811-01-01,1846-06-01,deceased
20129,20392,20484,1815-01-01,1877-06-01,deceased
20130,20441,20485,1814-01-01,1838-06-01,deceased
20131,20439,20486,1813-01-01,1838-06-01,deceased
20132,20402,20487,1817-01-01,1859-06-01,deceased
20133,20361,20488,1813-01-01,1849-06-01,deceased
20134,20429,20489,1816-01-01,1850-06-01,deceased
20135,20427,20490,1817-01-01,1842-06-01,deceased
20136,20437,20491,1817-01-01,1838-06-01,deceased
20137,20309,20492,1813-01-01,1840-06-01,deceased
20138,20400,20493,1816-01-01,1836-06-01,deceased
20139,20405,20494,1813-01-01,1842-06-01,deceased
20140,20347,20495,1812-01-01,1843-06-01,deceased
20141,20320,20496,1811-01-01,1837-06-01,deceased
20142,20386,20339,1816-01-01,1856-06-01,deceased
20143,20374,20497,1812-01-01,1850-06-01,deceased
20144,20306,20498,1816-01-01,1857-06-01,deceased
20145,20307,20499,1817-01-01,1863-06-01,deceased
20146,20435,20500,1813-01-01,1871-06-01,deceased
20147,20420,20501,1817-01-01,1847-06-01,deceased
20148,20323,20397,1814-01-01,1833-06-01,deceased
20149,20359,20503,1816-01-01,1846-06-01,deceased
20150,20334,20504,1811-01-01,1830-06-01,deceased
20151,20387,20505,1817-01-01,1840-06-01,deceased
20152,20364,20506,1812-01-01,1849-06-01,deceased
20153,20317,20507,1815-01-01,1845-06-01,deceased
20154,20431,20508,1813-01-01,1863-06-01,deceased
20155,20366,20509,1817-01-01,1861-06-01,deceased
20156,20434,20511,1816-01-01,1852-06-01,deceased
20157,20372,20512,1815-01-01,1851-06-01,deceased
20158,20331,20513,1813-01-01,1877-06-01,deceased
20159,20338,20394,1811-01-01,1852-06-01,deceased
20160,20409,20514,1815-01-01,1841-06-01,deceased
20161,20329,20515,1817-01-01,1843-06-01,deceased
20162,20413,20516,1814-01-01,1834-06-01,deceased
20163,20333,20517,1817-01-01,1883-06-01,deceased
20164,20645,20737,1832-01-01,1851-06-01,deceased
20165,20590,20738,1834-01-01,1889-06-01,deceased
20166,20614,20739,1829-01-01,1854-06-01,deceased
20167,20624,20741,1834-01-01,1854-06-01,deceased
20168,20734,20742,1834-01-01,1857-06-01,deceased
20169,20607,20743,1829-01-01,1887-06-01,deceased
20170,20656,20744,1834-01-01,1867-06-01,deceased
20171,20552,20745,1830-01-01,1867-06-01,deceased
20172,20687,20747,1831-01-01,1865-06-01,deceased
20173,20660,20748,1835-01-01,1858-06-01,deceased
20174,20731,20749,1829-01-01,1854-06-01,deceased
20175,20667,20750,1834-01-01,1886-06-01,deceased
20176,20621,20751,1829-01-01,1849-06-01,deceased
20177,20704,20752,1830-01-01,1876-06-01,deceased
20178,20540,20753,1830-01-01,1869-06-01,deceased
20179,20604,20754,1832-01-01,1861-06-01,deceased
20180,20668,20755,1833-01-01,1869-06-01,deceased
20181,20638,20618,1829-01-01,1855-06-01,deceased
20182,20693,20756,1830-01-01,1873-06-01,deceased
20183,20639,20757,1830-01-01,1877-06-01,deceased
20184,20629,20758,1832-01-01,1856-06-01,deceased
20185,20555,20759,1831-01-01,1868-06-01,deceased
20186,20561,20760,1835-01-01,1868-06-01,deceased
20187,20699,20761,1832-01-01,1859-06-01,deceased
20188,20619,20763,1832-01-01,1867-06-01,deceased
20189,20565,20764,1829-01-01,1855-06-01,deceased
20190,20587,20765,1831-01-01,1867-06-01,deceased
20191,20647,20766,1830-01-01,1852-06-01,deceased
20192,20544,20767,1832-01-01,1865-06-01,deceased
20193,20716,20768,1834-01-01,1896-06-01,deceased
20194,20522,20769,1829-01-01,1889-06-01,deceased
20195,20563,20770,1832-01-01,1886-06-01,deceased
20196,20585,20771,1834-01-01,1888-06-01,deceased
20197,20635,20772,1835-01-01,1881-06-01,deceased
20198,20617,20773,1831-01-01,1880-06-01,deceased
20199,20549,20546,1832-01-01,1856-06-01,deceased
20200,20651,20774,1832-01-01,1866-06-01,deceased
20201,20646,20775,1835-01-01,1866-06-01,deceased
20202,20625,20776,1833-01-01,1881-06-01,deceased
20203,20679,20778,1835-01-01,1895-06-01,deceased
20204,20628,20779,1833-01-01,1854-06-01,deceased
20205,20719,20780,1834-01-01,1889-06-01,deceased
20206,20571,20781,1832-01-01,1887-06-01,deceased
20207,20736,20782,1831-01-01,1856-06-01,deceased
20208,20537,20784,1832-01-01,1864-06-01,deceased
20209,20557,20785,1829-01-01,1856-06-01,deceased
20210,20520,20786,1835-01-01,1853-06-01,deceased
20211,20589,20787,1829-01-01,1887-06-01,deceased
20212,20708,20788,1834-01-01,1851-06-01,deceased
20213,20598,20790,1832-01-01,1862-06-01,deceased
20214,20643,20791,1834-01-01,1862-06-01,deceased
20215,20523,20792,1833-01-01,1859-06-01,deceased
20216,20527,20794,1835-01-01,1871-06-01,deceased
20217,20673,20795,1830-01-01,1892-06-01,deceased
20218,20564,20796,1834-01-01,1877-06-01,deceased
20219,20725,20797,1835-01-01,1880-06-01,deceased
20220,20698,20798,1830-01-01,1852-06-01,deceased
20221,20664,20799,1831-01-01,1865-06-01,deceased
20222,20570,20800,1829-01-01,1850-06-01,deceased
20223,20556,20801,1835-01-01,1863-06-01,deceased
20224,20577,20802,1835-01-01,1853-06-01,deceased
20225,20634,20803,1832-01-01,1879-06-01,deceased
20226,20663,20804,1830-01-01,1853-06-01,deceased
20227,20681,20805,1832-01-01,1854-06-01,deceased
20228,20726,20806,1834-01-01,1875-06-01,deceased
20229,20525,20613,1831-01-01,1864-06-01,deceased
20230,20545,20652,1835-01-01,1856-06-01,deceased
20231,20683,20807,1829-01-01,1859-06-01,deceased
20232,20674,20808,1831-01-01,1854-06-01,deceased
20233,20721,20809,1833-01-01,1882-06-01,deceased
20234,20650,20735,1834-01-01,1856-06-01,deceased
20235,20602,20811,1831-01-01,1855-06-01,deceased
20236,20720,20812,1831-01-01,1874-06-01,deceased
20237,20729,20678,1834-01-01,1877-06-01,deceased
20238,20633,20814,1835-01-01,1856-06-01,deceased
20239,20579,20815,1830-01-01,1851-06-01,deceased
