parent_id,child_id,relation_type
20000,20020,father
20001,20020,mother
20000,20021,father
20001,20021,mother
20000,20022,father
20001,20022,mother
20000,20023,father
20001,20023,mother
20002,20024,father
20003,20024,mother
20002,20025,father
20003,20025,mother
20002,20026,father
20003,20026,mother
20002,20027,father
20003,20027,mother
20004,20028,father
20005,20028,mother
20004,20029,father
20005,20029,mother
20004,20030,father
20005,20030,mother
20006,20031,father
20007,20031,mother
20006,20032,father
20007,20032,mother
20006,20033,father
20007,20033,mother
20006,20034,father
20007,20034,mother
20008,20035,father
20009,20035,mother
20008,20036,father
20009,20036,mother
20008,20037,father
20009,20037,mother
20008,20038,father
20009,20038,mother
20010,20039,father
20011,20039,mother
20010,20040,father
20011,20040,mother
20010,20041,father
20011,20041,mother
20012,20042,father
20013,20042,mother
20012,20043,father
20013,20043,mother
20012,20044,father
20013,20044,mother
20012,20045,father
20013,20045,mother
20014,20046,father
20015,20046,mother
20014,20047,father
20015,20047,mother
20014,20048,father
20015,20048,mother
20016,20049,father
20017,20049,mother
20016,20050,father
20017,20050,mother
20016,20051,father
20017,20051,mother
20016,20052,father
20017,20052,mother
20018,20053,father
20019,20053,mother
20018,20054,father
20019,20054,mother
20018,20055,father
20019,20055,mother
20018,20056,father
20019,20056,mother
20046,20075,father
20058,20075,mother
20046,20076,father
20058,20076,mother
20046,20077,father
20058,20077,mother
20046,20078,father
20058,20078,mother
20052,20079,father
20059,20079,mother
20052,20080,father
20059,20080,mother
20052,20081,father
20059,20081,mother
20052,20082,father
20059,20082,mother
20051,20083,father
20060,20083,mother
20051,20084,father
20060,20084,mother
20051,20085,father
20060,20085,mother
20048,20086,father
20061,20086,mother
20048,20087,father
20061,20087,mother
20048,20088,father
20061,20088,mother
20048,20089,father
20061,20089,mother
20022,20090,father
20062,20090,mother
20022,20091,father
20062,20091,mother
20022,20092,father
20062,20092,mother
20024,20093,father
20063,20093,mother
20024,20094,father
20063,20094,mother
20024,20095,father
20063,20095,mother
20024,20096,father
20063,20096,mother
20038,20097,father
20064,20097,mother
20038,20098,father
20064,20098,mother
20038,20099,father
20064,20099,mother
20054,20100,father
20065,20100,mother
20054,20101,father
20065,20101,mother
20054,20102,father
20065,20102,mother
20054,20103,father
20065,20103,mother
20027,20104,father
20066,20104,mother
20027,20105,father
20066,20105,mother
20027,20106,father
20066,20106,mother
20055,20107,father
20067,20107,mother
20055,20108,father
20067,20108,mother
20055,20109,father
20067,20109,mother
20031,20110,father
20030,20110,mother
20031,20111,father
20030,20111,mother
20031,20112,father
20030,20112,mother
20031,20113,father
20030,20113,mother
20056,20114,father
20068,20114,mother
20056,20115,father
20068,20115,mother
20056,20116,father
20068,20116,mother
20044,20117,father
20069,20117,mother
20044,20118,father
20069,20118,mother
20044,20119,father
20069,20119,mother
20044,20120,father
20069,20120,mother
20021,20121,father
20070,20121,mother
20021,20122,father
20070,20122,mother
20021,20123,father
20070,20123,mother
20021,20124,father
20070,20124,mother
20037,20125,father
20071,20125,mother
20037,20126,father
20071,20126,mother
20037,20127,father
20071,20127,mother
20037,20128,father
20071,20128,mother
20049,20129,father
20073,20129,mother
20049,20130,father
20073,20130,mother
20049,20131,father
20073,20131,mother
20095,20163,father
20132,20163,mother
20095,20164,father
20132,20164,mother
20095,20165,father
20132,20165,mother
20093,20166,father
20133,20166,mother
20093,20167,father
20133,20167,mother
20093,20168,father
20133,20168,mother
20093,20169,father
20133,20169,mother
20081,20170,father
20134,20170,mother
20081,20171,father
20134,20171,mother
20081,20172,father
20134,20172,mother
20081,20173,father
20134,20173,mother
20102,20174,father
20128,20174,mother
20102,20175,father
20128,20175,mother
20102,20176,father
20128,20176,mother
20106,20177,father
20136,20177,mother
20106,20178,father
20136,20178,mother
20106,20179,father
20136,20179,mother
20096,20180,father
20137,20180,mother
20096,20181,father
20137,20181,mother
20096,20182,father
20137,20182,mother
20096,20183,father
20137,20183,mother
20104,20184,father
20138,20184,mother
20104,20185,father
20138,20185,mother
20104,20186,father
20138,20186,mother
20127,20187,father
20139,20187,mother
20127,20188,father
20139,20188,mother
20127,20189,father
20139,20189,mother
20086,20190,father
20141,20190,mother
20086,20191,father
20141,20191,mother
20086,20192,father
20141,20192,mother
20086,20193,father
20141,20193,mother
20112,20194,father
20142,20194,mother
20112,20195,father
20142,20195,mother
20112,20196,father
20142,20196,mother
20109,20197,father
20144,20197,mother
20109,20198,father
20144,20198,mother
20109,20199,father
20144,20199,mother
20082,20200,father
20145,20200,mother
20082,20201,father
20145,20201,mother
20082,20202,father
20145,20202,mother
20082,20203,father
20145,20203,mother
20077,20204,father
20146,20204,mother
20077,20205,father
20146,20205,mother
20077,20206,father
20146,20206,mother
20077,20207,father
20146,20207,mother
20123,20208,father
20147,20208,mother
20123,20209,father
20147,20209,mother
20123,20210,father
20147,20210,mother
20123,20211,father
20147,20211,mother
20087,20212,father
20148,20212,mother
20087,20213,father
