marriage_id,spouse1_id,spouse2_id,start_date,end_date,status
10000,10000,10001,1883-01-01,1918-06-01,deceased
10001,10002,10003,1882-01-01,1913-06-01,deceased
10002,10004,10005,1885-01-01,1918-06-01,deceased
10003,10006,10007,1887-01-01,1906-06-01,deceased
10004,10008,10009,1883-01-01,1925-06-01,deceased
10005,10010,10011,1882-01-01,1927-06-01,deceased
10006,10012,10013,1884-01-01,1914-06-01,deceased
10007,10014,10015,1884-01-01,1919-06-01,deceased
10008,10026,10044,1900-01-01,1919-06-01,deceased
10009,10023,10045,1900-01-01,1927-06-01,deceased
10010,10020,10039,1900-01-01,1942-06-01,deceased
10011,10029,10046,1899-01-01,1946-06-01,deceased
10012,10025,10047,1902-01-01,1955-06-01,deceased
10013,10030,10048,1897-01-01,1923-06-01,deceased
10014,10031,10049,1898-01-01,1937-06-01,deceased
10015,10041,10050,1897-01-01,1918-06-01,deceased
10016,10033,10051,1902-01-01,1952-06-01,deceased
10017,10016,10052,1899-01-01,1938-06-01,deceased
10018,10019,10053,1900-01-01,1932-06-01,deceased
10019,10038,10054,1897-01-01,1932-06-01,deceased
10020,10036,10055,1899-01-01,1920-06-01,deceased
10021,10027,10056,1902-01-01,1926-06-01,deceased
10022,10042,10058,1899-01-01,1955-06-01,deceased
10023,10059,10112,1913-01-01,1936-06-01,deceased
10024,10082,10113,1917-01-01,1936-06-01,deceased
10025,10086,10115,1917-01-01,1936-06-01,deceased
10026,10111,10116,1919-01-01,1955-06-01,deceased
10027,10076,10097,1914-01-01,1962-06-01,deceased
10028,10089,10117,1916-01-01,1939-06-01,deceased
10029,10075,10118,1918-01-01,1954-06-01,deceased
10030,10108,10119,1915-01-01,1946-06-01,deceased
10031,10105,10121,1916-01-01,1949-06-01,deceased
10032,10096,10122,1919-01-01,1944-06-01,deceased
10033,10101,10123,1914-01-01,1934-06-01,deceased
10034,10081,10124,1913-01-01,1957-06-01,deceased
10035,10102,10125,1915-01-01,1953-06-01,deceased
10036,10095,10126,1919-01-01,1943-06-01,deceased
10037,10067,10127,1915-01-01,1949-06-01,deceased
10038,10099,10129,1918-01-01,1959-06-01,deceased
10039,10104,10130,1918-01-01,1971-06-01,deceased
10040,10084,10132,1918-01-01,1961-06-01,deceased
10041,10063,10133,1917-01-01,1942-06-01,deceased
