parent_id,child_id,relation_type
10000,10016,father
10001,10016,mother
10000,10017,father
10001,10017,mother
10000,10018,father
10001,10018,mother
10000,10019,father
10001,10019,mother
10002,10020,father
10003,10020,mother
10002,10021,father
10003,10021,mother
10002,10022,father
10003,10022,mother
10004,10023,father
10005,10023,mother
10004,10024,father
10005,10024,mother
10004,10025,father
10005,10025,mother
10004,10026,father
10005,10026,mother
10006,10027,father
10007,10027,mother
10006,10028,father
10007,10028,mother
10006,10029,father
10007,10029,mother
10006,10030,father
10007,10030,mother
10008,10031,father
10009,10031,mother
10008,10032,father
10009,10032,mother
10008,10033,father
10009,10033,mother
10008,10034,father
10009,10034,mother
10010,10035,father
10011,10035,mother
10010,10036,father
10011,10036,mother
10010,10037,father
10011,10037,mother
10012,10038,father
10013,10038,mother
10012,10039,father
10013,10039,mother
10012,10040,father
10013,10040,mother
10014,10041,father
10015,10041,mother
10014,10042,father
10015,10042,mother
10014,10043,father
10015,10043,mother
10026,10059,father
10044,10059,mother
10026,10060,father
10044,10060,mother
10026,10061,father
10044,10061,mother
10026,10062,father
10044,10062,mother
10023,10063,father
10045,10063,mother
10023,10064,father
10045,10064,mother
10023,10065,father
10045,10065,mother
10020,10066,father
10039,10066,mother
10020,10067,father
10039,10067,mother
10020,10068,father
10039,10068,mother
10020,10069,father
10039,10069,mother
10029,10070,father
10046,10070,mother
10029,10071,father
10046,10071,mother
10029,10072,father
10046,10072,mother
10025,10073,father
10047,10073,mother
10025,10074,father
10047,10074,mother
10025,10075,father
10047,10075,mother
10030,10076,father
10048,10076,mother
10030,10077,father
10048,10077,mother
10030,10078,father
10048,10078,mother
10030,10079,father
10048,10079,mother
10031,10080,father
10049,10080,mother
10031,10081,father
10049,10081,mother
10031,10082,father
10049,10082,mother
10041,10083,father
10050,10083,mother
10041,10084,father
10050,10084,mother
10041,10085,father
10050,10085,mother
10041,10086,father
10050,10086,mother
10033,10087,father
10051,10087,mother
10033,10088,father
10051,10088,mother
10033,10089,father
10051,10089,mother
10016,10090,father
10052,10090,mother
10016,10091,father
10052,10091,mother
10016,10092,father
10052,10092,mother
10019,10093,father
10053,10093,mother
10019,10094,father
10053,10094,mother
10019,10095,father
10053,10095,mother
10019,10096,father
10053,10096,mother
10038,10097,father
